id,project_id,repository_id,project_url,name,role
212,55,11,https://services.fsd.tuni.fi/catalogue/FSD3836,"Nousiainen, Marko",UNKNOWN
213,55,11,https://services.fsd.tuni.fi/catalogue/FSD3836,"Nousiainen, Marko",UNKNOWN
214,56,11,https://services.fsd.tuni.fi/catalogue/FSD3258,"Ruotsalainen, Esa",UNKNOWN
215,56,11,https://services.fsd.tuni.fi/catalogue/FSD3258,"Ruotsalainen, Esa",UNKNOWN
216,57,11,https://services.fsd.tuni.fi/catalogue/FSD2033,"Pulkkinen, Lea",UNKNOWN
217,57,11,https://services.fsd.tuni.fi/catalogue/FSD2033,"Pulkkinen, Lea",UNKNOWN
218,58,11,https://services.fsd.tuni.fi/catalogue/FSD3022,"Rangell, Suvi",UNKNOWN
219,58,11,https://services.fsd.tuni.fi/catalogue/FSD3022,"Rangell, Suvi",UNKNOWN
220,59,11,https://services.fsd.tuni.fi/catalogue/FSD3314,"Mäkelä, Pia",UNKNOWN
221,59,11,https://services.fsd.tuni.fi/catalogue/FSD3314,"Härkönen, Janne",UNKNOWN
222,59,11,https://services.fsd.tuni.fi/catalogue/FSD3314,"Lintonen, Tomi",UNKNOWN
223,59,11,https://services.fsd.tuni.fi/catalogue/FSD3314,"Tigerstedt, Christoffer",UNKNOWN
224,59,11,https://services.fsd.tuni.fi/catalogue/FSD3314,"Mäkelä, Pia",UNKNOWN
225,59,11,https://services.fsd.tuni.fi/catalogue/FSD3314,"Härkönen, Janne",UNKNOWN
226,59,11,https://services.fsd.tuni.fi/catalogue/FSD3314,"Lintonen, Tomi",UNKNOWN
227,59,11,https://services.fsd.tuni.fi/catalogue/FSD3314,"Tigerstedt, Christoffer",UNKNOWN
228,60,11,https://services.fsd.tuni.fi/catalogue/FSD2381,"Iltanen, Sonja",UNKNOWN
229,60,11,https://services.fsd.tuni.fi/catalogue/FSD2381,"Iltanen, Sonja",UNKNOWN
230,61,11,https://services.fsd.tuni.fi/catalogue/FSD2317,"Miettinen, Sonja",UNKNOWN
231,61,11,https://services.fsd.tuni.fi/catalogue/FSD2317,"Miettinen, Sonja",UNKNOWN
232,62,11,https://services.fsd.tuni.fi/catalogue/FSD2688,"Saarnio, Pekka",UNKNOWN
233,62,11,https://services.fsd.tuni.fi/catalogue/FSD2688,"Saarnio, Pekka",UNKNOWN
234,63,11,https://services.fsd.tuni.fi/catalogue/FSD3549,"Kasanen, Maria",UNKNOWN
235,63,11,https://services.fsd.tuni.fi/catalogue/FSD3549,"Kitinoja, Helli",UNKNOWN
236,63,11,https://services.fsd.tuni.fi/catalogue/FSD3549,"Nissinen, Kaija",UNKNOWN
237,63,11,https://services.fsd.tuni.fi/catalogue/FSD3549,"Kasanen, Maria",UNKNOWN
238,63,11,https://services.fsd.tuni.fi/catalogue/FSD3549,"Kitinoja, Helli",UNKNOWN
239,63,11,https://services.fsd.tuni.fi/catalogue/FSD3549,"Nissinen, Kaija",UNKNOWN
240,64,11,https://services.fsd.tuni.fi/catalogue/FSD3414,"Hartman, Maaria",UNKNOWN
241,64,11,https://services.fsd.tuni.fi/catalogue/FSD3414,"Laine, Sofia",UNKNOWN
242,64,11,https://services.fsd.tuni.fi/catalogue/FSD3414,"Hartman, Maaria",UNKNOWN
243,64,11,https://services.fsd.tuni.fi/catalogue/FSD3414,"Laine, Sofia",UNKNOWN
244,65,11,https://services.fsd.tuni.fi/catalogue/FSD2568,"Lehikoinen, Kai",UNKNOWN
245,65,11,https://services.fsd.tuni.fi/catalogue/FSD2568,"Ruusuvirta, Minna",UNKNOWN
246,65,11,https://services.fsd.tuni.fi/catalogue/FSD2568,Saukkonen Pasi,UNKNOWN
247,65,11,https://services.fsd.tuni.fi/catalogue/FSD2568,"Lehikoinen, Kai",UNKNOWN
248,65,11,https://services.fsd.tuni.fi/catalogue/FSD2568,"Ruusuvirta, Minna",UNKNOWN
249,65,11,https://services.fsd.tuni.fi/catalogue/FSD2568,Saukkonen Pasi,UNKNOWN
250,66,11,https://services.fsd.tuni.fi/catalogue/FSD2382,Nuorisoasiain neuvottelukunta (Nuora),UNKNOWN
251,66,11,https://services.fsd.tuni.fi/catalogue/FSD2382,Nuorisotutkimusseura. Nuorisotutkimusverkosto,UNKNOWN
252,66,11,https://services.fsd.tuni.fi/catalogue/FSD2382,Advisory Council for Youth Affairs (Nuora),UNKNOWN
253,66,11,https://services.fsd.tuni.fi/catalogue/FSD2382,Finnish Youth Research Society. Finnish Youth Research Network,UNKNOWN
254,67,11,https://services.fsd.tuni.fi/catalogue/FSD3400,"Oksanen, Atte",UNKNOWN
255,67,11,https://services.fsd.tuni.fi/catalogue/FSD3400,"Sirola, Anu",UNKNOWN
256,67,11,https://services.fsd.tuni.fi/catalogue/FSD3400,"Kaakinen, Markus",UNKNOWN
257,67,11,https://services.fsd.tuni.fi/catalogue/FSD3400,"Oksanen, Atte",UNKNOWN
258,67,11,https://services.fsd.tuni.fi/catalogue/FSD3400,"Sirola, Anu",UNKNOWN
259,67,11,https://services.fsd.tuni.fi/catalogue/FSD3400,"Kaakinen, Markus",UNKNOWN
